CookerStat, GenerateAssetRegistry=0.022940, Initialize=0.118330, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F79EBC4248788127FD09799FCC207CBA__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=480, Duration=4.679654, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_36DB9CAA41D1B04943C1A28653BA7D50__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=518, Duration=5.378146, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8C2664024114235C1A96A6B88352155D__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=637, Duration=4.171330, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_71F5293244E36060CEF995A45CF55A5A__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=575, Duration=3.429975, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId30DBC9644F40305F24FAC28BD6B3CAEC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9ACCE7164B9BC87A30EF81AA0D619288__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=915, Duration=55.187508, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId2AB3CFA44E9A1A32BFCB5ABD5FA494E5_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4D38E68646592309B2586481A0DEE8DA__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=416, Duration=47.717506, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1BDCE8AC4A7A04E53FFF7EBB53EF78E2__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=698, Duration=27.304880, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_07605F6E4BCA2B3C04B67FBC4C20E9A3__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=485, Duration=3.845025, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_177B462C41C8E3AD38170C9D7DD057EB__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=461, Duration=3.444463, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
DDCTransactionId9BE440A444D9DD5A17E6E1BB6F5C8424_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA87BE664D164368365C87B804E9206E__1_0_13123_0, StartTime=2016.05.04-10.35.04, HierarchicalDDC=, DataSize=682, Duration=3.352098, RunGuid=RunID24AEB1B044C4970ED70FF68561F17D58
